Designator,Footprint,Quantity,Value,LCSC Part #
BOOT0,SW_MSK12C02-HB,1,SW_SPST,
"C1, C2",1206,2,1uF,
"C3, V_C2, V_C3, V_C4, V_C5, V_C6",0805,6,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D7, D8, D9",D_SOD-123,68,D_Small,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST_SH,
LED1,LED-6028,1,White,C3646965
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX55, MX56, MX57, MX58, MX59, MX6, MX63, MX66, MX67, MX68, MX7, MX8, MX9, MXB14, MXB61, MXB63",SW_MX_1u,66,MX_SW_solder,
"MX60, MX61, MX62, MX64, MX65",SW_MX_1.25u,5,MX_SW_solder,
MXB32,SW_MX_1.75u_STP_1.25,1,MX_SW_solder,
"MXB60, MXB62, MXB65",SW_MX_1.5u,3,MX_SW_solder,
NRST1,SW_SPST_SKQG_WithStem,1,SW_SPST,
"R1, R2",0805,2,5.1kΩ,
R3,0805,1,200Ω,C2933534
S1,STAB_MX_P_2u,1,MX_stab,
"S2, S3",STAB_MX_P_2.25u,2,MX_stab,
S4,STAB_MX_P_6.25u,1,MX_stab,
S5,STAB_MX_P_7u,1,MX_stab,
U1,SOT-23-3,1,XC6206P332MR-G,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBTx,
V_C1,1206,1,10uF,
